band_name,genre,crowd_score,judge_score,songs_performed,stage_energy
The Phantom Riffs,Rock,88,91,4,9
Neon Serpents,Synthwave,76,82,3,8
Iron Velvet,Metal,95,89,5,10
Hollow Moon,Indie,70,74,3,7
The Static Kings,Punk,84,78,4,9
Crimson Tide Rising,Blues,66,88,3,6
Velvet Undertow,Jazz,71,93,4,7
Starfall Protocol,Electronic,80,77,3,8
The Burning Halos,Rock,91,85,5,10
Dusk Parade,Folk,63,70,3,6
Pale Fire Society,Indie,74,76,4,7
The Neon Wolves,Punk,87,80,4,9
Obsidian Echo,Metal,93,90,5,10
Lunar Static,Synthwave,78,83,3,8
The Ivory Collapse,Emo,69,72,3,7
Savage Lullaby,Rock,85,88,4,9
Rust and Ruin,Country,60,65,3,6
The Glass Animals,Jazz,77,94,4,8
Frequency Ghosts,Electronic,82,79,3,8
Painted Wolves,Folk,65,68,3,6
The Shattered Saints,Metal,96,92,5,10
Velvet Thunder,Blues,72,86,4,7
Midnight Formula,Synthwave,79,81,3,8
The Iron Chorus,Rock,89,87,5,9
Ember Cult,Punk,83,75,4,8
Hollow Earth Theory,Indie,73,77,3,7
The Slow Burn,Folk,61,69,3,6
Solar Fracture,Electronic,84,80,4,8
Crimson Architects,Metal,94,91,5,10
The Last Almanac,Country,58,63,3,5
Voltage Saints,Rock,87,84,4,9
Pale Dominion,Emo,67,71,3,6
The Drift,Jazz,75,92,4,7
Phantom Circuit,Electronic,81,78,3,8
Black Iris,Indie,76,75,3,7
The Wraith Kings,Metal,92,88,5,10
Neon Psalms,Synthwave,77,82,3,8
Dead Reckoning,Punk,86,79,4,9
Ivory Shore,Folk,64,67,3,6
The Collapsed Stars,Rock,90,86,5,9
Amber Signal,Blues,70,85,4,7
The Vacant Skies,Emo,68,73,3,6
Resonance Cult,Electronic,83,81,4,8
Silver Mirage,Jazz,74,91,4,7
The Pale Machine,Synthwave,80,84,3,8
Funeral Waltz,Metal,97,93,5,10
Redline Saints,Punk,85,77,4,9
The Broken Compass,Country,59,64,3,5
Glacier Noise,Indie,72,74,3,7
The Ashen Crown,Rock,88,89,4,9
